X Coordinate,Y Coordinate
2,406
10,403
20,401
30,397
40,391
50,385
60,378
70,369
80,360
90,352
100,344
110,336
120,328
130,320
140,313
150,303
160,294
170,286
180,278
190,269
200,260
210,251
220,242
230,234
240,226
250,218
260,209
270,200
280,191
290,183
300,175
310,167
320,159
330,149
340,141
350,133
360,125
370,117
380,109
390,101
400,93
410,85
415,88
417,87
418,82
420,81
430,75
440,69
450,63
460,59
470,55
480,53
490,52
500,51
510,51
520,52
530,51
539,50
